,date,ttt_group,clicks_A,clicks_B,clicks_C,cost_A,cost_B,cost_C,bookings_A,bookings_B,bookings_C,booking_rev_A,booking_rev_B,booking_rev_C,booking_con_A,booking_con_B,booking_con_C,profit_A,profit_B,profit_C
314,2019-01-01,long,4945,7970,301992,2378,4068,242810,118,153,7231,19093,23636,1190356,0.02386248736097068,0.0191969887076537,0.02394434289650057,2863.95,3545.4,178553.4
313,2019-01-01,medium,61201,8115,81676,47501,4893,65722,2373,252,3167,371986,39742,512900,0.03877387624385222,0.031053604436229204,0.038775160389832995,55797.9,5961.3,76935.0
312,2019-01-01,short,110658,62984,23897,107515,57033,19170,5359,2440,1157,815380,374662,173965,0.048428491387879774,0.0387399974596723,0.04841611917813952,122307.0,56199.3,26094.75
473,2019-01-02,long,4202,6524,284020,2022,3317,231466,101,125,6807,15838,18765,1138882,0.024036173250832935,0.01916002452483139,0.02396662206886839,2375.7,2814.75,170832.3
472,2019-01-02,medium,59130,8040,79556,45954,4869,64165,2294,250,3086,360364,39281,474731,0.03879587349906985,0.03109452736318408,0.03879028608778722,54054.6,5892.15,71209.65
471,2019-01-02,short,99122,54777,21459,96726,49634,17295,4798,2121,1039,720475,328767,164653,0.04840499586368314,0.03872063092173723,0.04841791322988024,108071.25,49315.05,24697.95
627,2019-01-03,short,86154,49526,19704,83567,44827,15894,4168,1917,953,642517,294179,158464,0.04837848503841957,0.038706941808343096,0.04836581404790905,96377.55,44126.85,23769.6
628,2019-01-03,medium,57538,7733,76565,44838,4689,61834,2234,240,2972,339218,38368,445813,0.03882651465118704,0.03103582050950472,0.03881669169986286,50882.7,5755.2,66871.95
629,2019-01-03,long,4409,6536,263483,2121,3303,211347,106,125,6319,16421,19368,1021024,0.024041732819233386,0.01912484700122399,0.02398257193063689,2463.15,2905.2,153153.6
785,2019-01-04,long,3789,5502,244675,1822,2772,198101,91,106,5872,14031,16632,886951,0.024016891000263923,0.019265721555797893,0.02399918258914887,2104.65,2494.8,133042.65
784,2019-01-04,medium,55124,7097,74045,43154,4300,60145,2142,221,2877,348974,33317,446521,0.03885784776141064,0.031139918275327604,0.03885475048956716,52346.1,4997.55,66978.15
783,2019-01-04,short,75563,43967,17867,73186,39797,14451,3654,1701,864,558728,260389,140913,0.04835700011910591,0.03868810698933291,0.048357306766664804,83809.2,39058.35,21136.95
941,2019-01-05,long,3662,4992,224717,1768,2506,181524,88,96,5395,14526,15117,848900,0.02403058438012015,0.019230769230769232,0.024007974474561336,2178.9,2267.55,127335.0
940,2019-01-05,medium,55259,6576,68129,43446,3962,54985,2149,205,2649,342436,31326,409411,0.038889592645541905,0.03117396593673966,0.03888212068282229,51365.4,4698.9,61411.65
939,2019-01-05,short,64958,39925,16296,62977,36422,13291,3139,1543,788,508980,239212,125799,0.04832353212845223,0.03864746399499061,0.04835542464408444,76347.0,35881.8,18869.85
0,2019-01-06,short,117272,68608,27152,113299,61987,21848,5664,2651,1311,864767,423745,197976,0.048297973940923666,0.03863980876865672,0.0482837360047142,129715.05,63561.75,29696.4
1,2019-01-06,medium,96050,12415,137291,74761,7483,111740,3738,386,5343,565066,60799,812847,0.03891723060905778,0.031091421667337898,0.03891733616915894,84759.9,9119.85,121927.05
2,2019-01-06,long,7060,9568,408676,3407,4796,327505,170,184,9813,27480,27867,1506297,0.024079320113314446,0.019230769230769232,0.024011686519394337,4122.0,4180.05,225944.55
158,2019-01-07,long,5813,8461,348046,2805,4278,280077,140,163,8358,22476,26444,1352270,0.024083949767761913,0.019264862309419692,0.024014067106072186,3371.4,3966.6,202840.5
157,2019-01-07,medium,91774,11949,113427,71704,7236,91000,3575,372,4418,576164,56522,751332,0.038954387953015014,0.031132312327391415,0.0389501617780599,86424.6,8478.3,112699.8
156,2019-01-07,short,97953,55346,22733,94942,49950,18357,4728,2137,1097,758496,321490,174453,0.048268046920461855,0.038611643117840495,0.048255839528438836,113774.4,48223.5,26167.95
317,2019-01-08,long,5564,7989,306832,2699,4054,245667,134,153,7368,22797,24012,1133153,0.024083393242271746,0.01915133308298911,0.02401314074151327,3419.55,3601.8,169972.95
316,2019-01-08,medium,84549,10527,103994,65951,6329,83245,3296,328,4054,540284,52480,643800,0.038983311452530485,0.031157974731642443,0.038983018251052944,81042.6,7872.0,96570.0
