,date,clicks_A,clicks_B,clicks_C,cost_A,cost_B,cost_C,bookings_A,bookings_B,bookings_C,booking_rev_A,booking_rev_B,booking_rev_C,booking_con_A,booking_con_B,booking_con_C
314,2019-01-01,4945,7970,301992,2378,4068,242810,118,153,7231,19093,23636,1190356,0.02386248736097068,0.0191969887076537,0.02394434289650057
473,2019-01-02,4202,6524,284020,2022,3317,231466,101,125,6807,15838,18765,1138882,0.024036173250832935,0.01916002452483139,0.02396662206886839
629,2019-01-03,4409,6536,263483,2121,3303,211347,106,125,6319,16421,19368,1021024,0.024041732819233386,0.01912484700122399,0.02398257193063689
785,2019-01-04,3789,5502,244675,1822,2772,198101,91,106,5872,14031,16632,886951,0.024016891000263923,0.019265721555797893,0.02399918258914887
941,2019-01-05,3662,4992,224717,1768,2506,181524,88,96,5395,14526,15117,848900,0.02403058438012015,0.019230769230769232,0.024007974474561336
2,2019-01-06,7060,9568,408676,3407,4796,327505,170,184,9813,27480,27867,1506297,0.024079320113314446,0.019230769230769232,0.024011686519394337
158,2019-01-07,5813,8461,348046,2805,4278,280077,140,163,8358,22476,26444,1352270,0.024083949767761913,0.019264862309419692,0.024014067106072186
317,2019-01-08,5564,7989,306832,2699,4054,245667,134,153,7368,22797,24012,1133153,0.024083393242271746,0.01915133308298911,0.02401314074151327
476,2019-01-09,4593,6443,288611,2207,3229,232682,110,124,6928,17278,18791,1044994,0.023949488351839757,0.019245693000155207,0.024004629068192136
632,2019-01-10,4413,6115,268276,2122,3063,215585,106,117,6437,16867,18688,1003729,0.024019941083163382,0.01913327882256746,0.023993946532675305
788,2019-01-11,4075,5782,248005,1958,2903,199174,98,111,5947,16139,17052,922702,0.024049079754601226,0.019197509512279488,0.023979355254934377
944,2019-01-12,3799,5677,227350,1824,2867,182088,91,109,5448,14362,16808,860846,0.023953672018952356,0.01920028183899947,0.023963052562128877
5,2019-01-13,6473,9551,415381,3116,4827,336438,155,183,9944,24288,29623,1495347,0.0239456202688089,0.019160297351062717,0.02393946762129226
