,date,clicks_A,clicks_B,clicks_C,cost_A,cost_B,cost_C,bookings_A,bookings_B,bookings_C,booking_rev_A,booking_rev_B,booking_rev_C,booking_con_A,booking_con_B,booking_con_C
312,2019-01-01,110658,62984,23897,107515,57033,19170,5359,2440,1157,815380,374662,173965,0.048428491387879774,0.0387399974596723,0.04841611917813952
471,2019-01-02,99122,54777,21459,96726,49634,17295,4798,2121,1039,720475,328767,164653,0.04840499586368314,0.03872063092173723,0.04841791322988024
627,2019-01-03,86154,49526,19704,83567,44827,15894,4168,1917,953,642517,294179,158464,0.04837848503841957,0.038706941808343096,0.04836581404790905
783,2019-01-04,75563,43967,17867,73186,39797,14451,3654,1701,864,558728,260389,140913,0.04835700011910591,0.03868810698933291,0.048357306766664804
939,2019-01-05,64958,39925,16296,62977,36422,13291,3139,1543,788,508980,239212,125799,0.04832353212845223,0.03864746399499061,0.04835542464408444
0,2019-01-06,117272,68608,27152,113299,61987,21848,5664,2651,1311,864767,423745,197976,0.048297973940923666,0.03863980876865672,0.0482837360047142
156,2019-01-07,97953,55346,22733,94942,49950,18357,4728,2137,1097,758496,321490,174453,0.048268046920461855,0.038611643117840495,0.048255839528438836
315,2019-01-08,83516,49606,18759,80882,45013,15074,4028,1914,905,624390,303750,143804,0.048230279227932375,0.03858404225295327,0.04824350978197132
474,2019-01-09,77543,43870,18064,74990,39510,14561,3738,1692,871,628046,256751,132445,0.04820551178056046,0.03856849783451106,0.048217449069973425
630,2019-01-10,70666,42377,15211,68589,38585,12185,3404,1633,733,535717,258067,112086,0.04817026575722413,0.03853505439271303,0.048188810729077644
786,2019-01-11,66527,36706,14775,64500,33038,11869,3203,1414,711,495744,227579,109094,0.048145865588407714,0.038522312428485805,0.048121827411167516
942,2019-01-12,59074,34811,14651,56873,31370,11849,2843,1340,705,465991,202027,107349,0.04812607915495819,0.038493579615638734,0.048119582281072965
3,2019-01-13,109700,64097,25477,105743,57771,20462,5277,2467,1225,794086,387316,193915,0.04810391978122151,0.038488540805341906,0.048082584291714095
159,2019-01-14,94674,54771,22656,91389,49375,18290,4552,2107,1089,733881,329788,168891,0.04808078247459704,0.038469262931113184,0.04806673728813559
318,2019-01-15,81651,53920,19620,78763,49384,15836,3924,2073,943,596789,327656,145540,0.04805819891979278,0.038445845697329374,0.048063200815494395
477,2019-01-16,80927,49482,18414,78044,44873,14758,3888,1902,885,657401,294629,133507,0.04804329828116698,0.03843821995877289,0.048061257738677095
633,2019-01-17,76012,49032,17638,73068,44619,14125,3651,1884,847,555455,285288,128248,0.04803188970162606,0.038423886441507585,0.048021317609706314
789,2019-01-18,73633,45949,16992,70942,41736,13629,3536,1765,816,534180,268936,129197,0.04802194668151508,0.03841215260397397,0.0480225988700565
945,2019-01-19,72856,41482,15974,70469,37395,12781,3498,1593,767,532671,240652,129612,0.04801251784341715,0.038402198543946775,0.04801552522849631
6,2019-01-20,132562,83019,31839,127954,75580,25714,6364,3189,1529,985840,500023,232915,0.04800772468731612,0.038412893434033174,0.04802286503973115
162,2019-01-21,123038,66963,30212,119551,60301,24630,5907,2572,1450,974617,391833,237578,0.048009558022724684,0.03840927079133253,0.0479941745001986
321,2019-01-22,104077,73385,26450,99935,67453,21400,4996,2818,1270,797949,425139,192100,0.04800292091432305,0.0384002180282074,0.04801512287334594
480,2019-01-23,111857,63839,24383,108355,57653,19524,5369,2451,1170,830145,393274,180074,0.04799878416192102,0.038393458544150126,0.04798425132264283
636,2019-01-24,103763,66040,25782,100696,60568,21023,4981,2536,1238,812258,385933,187281,0.04800362364233879,0.03840096910963053,0.04801799705220697
792,2019-01-25,99710,61936,28603,96015,56195,23563,4786,2378,1373,760389,368280,218227,0.04799919767325243,0.038394471712735724,0.048001957836590566
948,2019-01-26,97099,63609,23191,93354,58006,18642,4661,2443,1113,764482,379127,169863,0.04800255409427492,0.03840651480136459,0.0479927558104437
9,2019-01-27,189934,118627,44164,182416,107422,35346,9117,4556,2120,1408158,719603,333481,0.04800088451777986,0.03840609641987069,0.04800289828819853
165,2019-01-28,168187,108785,39366,161586,98975,31543,8074,4178,1890,1241542,641008,286796,0.04800608846105823,0.03840603024314014,0.04801097393689986
324,2019-01-29,157900,94175,42422,152058,85017,34663,7580,3617,2037,1143125,569335,315137,0.048005066497783404,0.03840722059994691,0.04801753806986941
483,2019-01-30,158230,93940,37778,152165,84639,30374,7597,3608,1814,1163598,549168,278066,0.048012387031536374,0.03840749414519906,0.04801736460373762
639,2019-01-31,152608,95705,35609,146942,86931,28584,7327,3676,1710,1165494,590958,276476,0.048011899769343676,0.038409696463089706,0.04802156758122946
795,2019-02-01,146327,96087,33842,141014,87856,27159,7026,3691,1625,1115413,565406,249881,0.048015745556185804,0.03841310479045032,0.04801725666331777
951,2019-02-02,146596,83161,37032,141689,74879,30137,7040,3195,1778,1069812,496528,269832,0.04802313842123932,0.038419451425548035,0.04801252970403975
12,2019-02-03,275571,170168,64992,265302,154246,52233,13234,6538,3121,2025128,1015594,514652,0.048023921239898244,0.038420854684782096,0.0480212949286066
168,2019-02-04,248241,152362,56184,239528,138312,45023,11922,5854,2698,1824250,909213,404963,0.048025910304905314,0.03842165369317809,0.048020788836679484
327,2019-02-05,228588,137792,57401,221522,125345,46802,10979,5295,2757,1660325,805902,427948,0.04802964285089331,0.03842748490478402,0.04803052211633944
486,2019-02-06,215679,146457,53400,207596,134310,43169,10360,5628,2565,1667416,903480,396250,0.0480343473402603,0.03842766136135521,0.048033707865168536
642,2019-02-07,215455,131596,57963,207479,119151,47369,10350,5057,2784,1722343,761520,423937,0.04803787333781996,0.03842821970272653,0.048030640236012626
798,2019-02-08,211654,128302,52098,203581,115923,42056,10169,4931,2503,1592919,764823,377835,0.04804539484252601,0.038432760206388056,0.04804407078966563
954,2019-02-09,204404,123688,48411,196701,111783,38911,9821,4754,2326,1524900,714074,376343,0.04804700495097943,0.03843541814889076,0.04804693148251431
15,2019-02-10,387588,231434,97422,373451,209073,78987,18625,8897,4682,3201530,1421242,709174,0.04805360331073202,0.038442925412860686,0.048058959988503624
171,2019-02-11,343909,207666,85144,330872,187585,68799,16529,7985,4092,2607506,1211665,618649,0.0480621327153404,0.038451166777421435,0.04805975758714648
330,2019-02-12,314579,189461,82742,302539,171019,67341,15121,7286,3977,2302079,1094821,635308,0.048067417087599616,0.03845646333546218,0.048065069734838414
489,2019-02-13,303999,198265,69106,292776,181011,55304,14615,7625,3322,2198560,1172323,520541,0.04807581603886855,0.03845862860313217,0.04807107921164588
645,2019-02-14,301095,183375,68429,290326,166189,54826,14478,7054,3290,2242599,1061881,506952,0.048084491605639414,0.03846762099522836,0.04807903082026626
801,2019-02-15,294404,167861,68956,285344,151661,55744,14158,6458,3316,2132106,1030274,497633,0.04809037920680426,0.0384723074448502,0.048088636231799986
957,2019-02-16,269749,162485,73971,260343,147191,60731,12975,6252,3558,2005610,954507,561797,0.04810027099266355,0.038477397913653566,0.048099931054061726
18,2019-02-17,522162,319366,113933,505353,290662,91158,25120,12291,5481,3931833,2031277,830097,0.04810767539575841,0.03848562464382558,0.04810722091053514
174,2019-02-18,463374,275920,102565,448392,250245,82198,22295,10621,4935,3396416,1648705,782670,0.048114482038267146,0.03849304146129313,0.04811582898649637
333,2019-02-19,415663,252929,100041,400086,228793,80588,20003,9737,4814,3075161,1469450,740064,0.048123118968972464,0.03849696950527618,0.0481202706890175
492,2019-02-20,403617,241422,95876,389385,218418,77284,19426,9295,4614,3153263,1544256,708780,0.04812978640641995,0.038501047957518374,0.048124661020484794
648,2019-02-21,382672,233307,93330,370109,212113,75670,18420,8984,4492,2886150,1488842,712455,0.04813521762762888,0.03850720295576215,0.04813029036751312
804,2019-02-22,374883,214235,84820,362747,193296,68160,18047,8251,4083,2807005,1241646,637638,0.04814035312350787,0.03851378159497748,0.04813723178495638
960,2019-02-23,344203,208468,82251,334538,190304,66844,16572,8030,3960,2517678,1211715,606726,0.04814600686222956,0.03851910125295009,0.04814531130320604
21,2019-02-24,634949,405623,144197,614707,371300,115988,30574,15625,6943,4726658,2414857,1079598,0.048151898813920485,0.03852099116667447,0.048149406714425406
177,2019-02-25,563309,336225,132645,548519,306945,107803,27127,12953,6388,4398582,1952858,1024274,0.04815651800344038,0.038524797382705034,0.04815861886991594
336,2019-02-26,497212,303939,131162,479267,275488,107029,23946,11710,6317,3657432,1838668,979819,0.04816054318882086,0.03852746768266001,0.04816181515987862
495,2019-02-27,483328,280871,125527,465837,252948,102221,23280,10823,6046,3494700,1723773,928785,0.04816604872881356,0.038533704084793376,0.04816493662717981
651,2019-02-28,442573,291292,109957,427080,266775,89156,21318,11225,5297,3464403,1694307,856879,0.04816832477354018,0.03853521552256842,0.048173376865501966
807,2019-03-01,449004,250829,94890,437088,227032,76061,21630,9667,4571,3430673,1461220,712627,0.048173290215677365,0.03854020069449705,0.04817156707766888
963,2019-03-02,399449,250432,92668,387255,229023,74843,19244,9652,4464,2974754,1534140,709762,0.04817636293994978,0.038541400460005114,0.0481719687486511
24,2019-03-03,744013,462729,168104,722200,423275,135489,35847,17836,8099,5498581,2844288,1247173,0.04818060974741033,0.038545239222093276,0.04817850854233094
180,2019-03-04,659822,383286,145878,640516,347647,117264,31793,14775,7029,4935009,2278402,1105117,0.04818420725589629,0.03854823813027348,0.04818409904166495
339,2019-03-05,588578,345289,132614,569869,312753,106576,28362,13311,6390,4285181,2052086,982545,0.04818732606383521,0.03855031582239805,0.04818495784758774
498,2019-03-06,556902,330116,124027,538714,299128,99440,26838,12727,5977,4323807,2023369,929313,0.04819160283137787,0.03855311466272462,0.04819111967555452
654,2019-03-07,507595,330416,114847,491823,303421,92414,24463,12739,5535,3969764,2039612,930600,0.048193934140407214,0.038554428356980294,0.04819455449424016
810,2019-03-08,483963,286138,121940,467471,258814,99141,23325,11033,5877,3958863,1837918,921287,0.04819583315253439,0.03855831801438467,0.04819583401672954
966,2019-03-09,454493,276993,97223,441829,253112,77943,21906,10681,4686,3340861,1701699,713587,0.04819876213715063,0.038560541241114396,0.0481984715550847
27,2019-03-10,868553,458489,198927,846897,412743,161330,41866,17680,9589,6509868,2797480,1501466,0.04820200954921577,0.03856144858437171,0.04820361238042096
183,2019-03-11,722054,427229,163467,698021,386786,131246,34807,16476,7880,5775282,2516780,1191283,0.0482055358740482,0.03856479780164736,0.0482054481944368
342,2019-03-12,645383,375485,150686,622763,338606,121230,31113,14481,7264,4734159,2181132,1172516,0.048208583120410674,0.03856612114997936,0.048206203628737905
501,2019-03-13,611696,358288,135281,593845,325336,108758,29490,13819,6522,4503897,2089108,1069589,0.04821022207109414,0.03856953065690171,0.048210761304248194
657,2019-03-14,568160,323883,144741,548700,291570,117821,27393,12492,6978,4173410,2015818,1072385,0.04821353139960575,0.038569483424569985,0.04821025141459573
813,2019-03-15,523060,316527,126638,504505,286719,102301,25220,12209,6106,4050824,2016327,943069,0.04821626582036478,0.03857174901351228,0.0482161752396595
969,2019-03-16,491523,290422,111763,475498,263069,89846,23700,11203,5389,3725348,1749836,812081,0.048217479141362665,0.03857490135044866,0.04821810438159319
30,2019-03-17,926934,513771,197992,901999,464400,158857,44697,19819,9547,7149552,3176459,1433168,0.04822026163675084,0.038575552142880776,0.04821911996444301
186,2019-03-18,739820,485790,178334,714224,444961,144114,35676,18741,8600,5634552,2874033,1334105,0.04822254061798816,0.038578398073241524,0.04822411878834098
345,2019-03-19,721834,370494,155620,706262,333505,125689,34810,14294,7505,5640987,2166849,1169713,0.04822438399964535,0.03858092168834043,0.04822644904253952
504,2019-03-20,637312,391017,144446,614897,354916,115764,30736,15086,6966,4776173,2454295,1064919,0.04822755573408315,0.038581442750570946,0.048225634493167
660,2019-03-21,607119,338115,150723,589091,304928,122872,29281,13046,7269,4547917,2119875,1119341,0.04822942454444681,0.03858450527187495,0.048227543241575604
816,2019-03-22,520516,368302,128792,503879,341443,104704,25105,14211,6212,3832406,2347378,1009654,0.04823098617525686,0.03858518281193151,0.04823280949127275
972,2019-03-23,500265,309047,128538,484710,281942,105085,24130,11925,6200,3709190,1818585,989280,0.048234435749053,0.038586363886399154,0.04823476326067
33,2019-03-24,951308,552506,209770,920237,499364,167977,45887,21320,10118,7078533,3400127,1551371,0.04823569233098008,0.0385878162409096,0.04823377985412595
189,2019-03-25,811343,455360,196339,786739,410794,159444,39137,17572,9471,6112871,2647530,1423169,0.048237305307373086,0.038589248067463104,0.04823799652641605
348,2019-03-26,672850,463054,160178,649387,426512,129203,32458,17870,7727,5350383,3021548,1236432,0.04823957791483986,0.038591611345545014,0.04824008290776511
507,2019-03-27,668122,394980,150861,648321,358901,121542,32231,15244,7278,5111918,2508678,1135903,0.04824118948335783,0.03859435920806117,0.04824308469385726
663,2019-03-28,619219,366821,144701,598587,332134,116636,29873,14157,6981,4604402,2330058,1101786,0.04824302871843403,0.038593755537441966,0.04824431068202708
819,2019-03-29,571224,342093,133213,552254,310202,107361,27559,13204,6427,4188469,2044265,978612,0.04824552189683907,0.0385976912710871,0.04824604205295279
